Template,Tier,V3 Section,Currently Shipped,Owner,Requires AI Gen,Requires Jurisdiction Selector,Gates
Offer Letter (conditional and unconditional),1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (state),PD->ST->Mike->QA->SHIP
Employment Agreement (full-time/part-time/fixed-term),1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (FT/PT/FT-term + state/prov),PD->ST->Mike->QA->SHIP (TOP PRIORITY per V3)
Independent Contractor Agreement,1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (state misclassification rules),PD->ST->Mike->QA->SHIP
Probationary Period Confirmation Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (Canada heavy),PD->ST->Mike->QA->SHIP
Employment Verification / Reference Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Promotion / Title Change Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Compensation Adjustment Letter,1,Employment Lifecycle,N,ST# build / LC# review,Y,Y (state pay equity),PD->ST->Mike->QA->SHIP
Termination Letter — Without Cause,1,Termination & Separation,N,ST# build / LC# review,Y,Y (notice/pay-in-lieu varies),PD->ST->Mike->QA->SHIP
Termination Letter — With Cause,1,Termination & Separation,N,ST# build / LC# review,Y,Y (Canada common-law notice),PD->ST->Mike->QA->SHIP
Separation Agreement / Release of Claims,1,Termination & Separation,N,ST# build / LC# review,Y,Y (OWBPA US / consideration period),PD->ST->Mike->QA->SHIP
Severance Calculation Worksheet,1,Termination & Separation,N,ST# build / LC# review,Y,Y (statutory + common law),PD->ST->Mike->QA->SHIP
Resignation Acceptance Letter,1,Termination & Separation,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Job Abandonment Notice,1,Termination & Separation,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Layoff / Redundancy Notice (individual + group),1,Termination & Separation,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
WARN Act Notice (US fed + state mini-WARN),1,Termination & Separation,N,ST# build / LC# review,Y,Y (CA NY NJ IL etc),PD->ST->Mike->QA->SHIP
ROE Guidance Notes (Canada),1,Termination & Separation,N,ST# build / LC# review,Y,Y (Canada only),PD->ST->Mike->QA->SHIP
Employee Handbook (jurisdiction-aware),1,Policies & Handbooks,N,ST# build / LC# review,Y,Y (heavy),PD->ST->Mike->QA->SHIP
Anti-Harassment & Anti-Discrimination Policy,1,Policies & Handbooks,N,ST# build / LC# review,Y,Y (state mandates eg CA NY),PD->ST->Mike->QA->SHIP
Code of Conduct,1,Policies & Handbooks,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Attendance & Punctuality Policy,1,Policies & Handbooks,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Remote Work / Hybrid Work Policy,1,Policies & Handbooks,N,ST# build / LC# review,Y,Y (multi-state nexus),PD->ST->Mike->QA->SHIP
Social Media Policy,1,Policies & Handbooks,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Drug & Alcohol Policy (cannabis-aware),1,Policies & Handbooks,N,ST# build / LC# review,Y,Y (cannabis post-legalization),PD->ST->Mike->QA->SHIP
Workplace Violence Prevention Policy,1,Policies & Handbooks,N,ST# build / LC# review,Y,Y (CA SB553),PD->ST->Mike->QA->SHIP
Whistleblower / Reporting Policy,1,Policies & Handbooks,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Performance Improvement Plan (PIP),2,Performance Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Verbal Warning Documentation Template,2,Performance Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Written Warning Template,2,Performance Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Final Written Warning Template,2,Performance Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Performance Review Template (annual + mid-year),2,Performance Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Goal Setting / OKR Template,2,Performance Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
FMLA Leave Request & Approval (US),2,Leave Management,N,ST# build / LC# review,Y,Y (US only 50+ ee),PD->ST->Mike->QA->SHIP
State-Specific Paid Family Leave (13 states: CA NY WA NJ CT CO OR MA MD DE MN ME IL),2,Leave Management,N,ST# build / LC# review,Y,Y (each state discrete sub-template),PD->ST->Mike->QA->SHIP
Maternity/Parental Leave Plan (Canada province-specific),2,Leave Management,N,ST# build / LC# review,Y,Y (Canada provinces),PD->ST->Mike->QA->SHIP
Short-Term Disability Accommodation,2,Leave Management,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Return-to-Work Plan,2,Leave Management,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Bereavement Leave Policy,2,Leave Management,N,ST# build / LC# review,Y,Y (state mandates),PD->ST->Mike->QA->SHIP
Jury Duty / Voting Leave Notice,2,Leave Management,N,ST# build / LC# review,Y,Y (state-by-state),PD->ST->Mike->QA->SHIP
Military Leave (USERRA),2,Leave Management,N,ST# build / LC# review,Y,Y (US only),PD->ST->Mike->QA->SHIP
ADA Interactive Process Documentation (US),2,Accommodation,N,ST# build / LC# review,Y,Y (US only),PD->ST->Mike->QA->SHIP
Duty to Accommodate Documentation (Canada),2,Accommodation,N,ST# build / LC# review,Y,Y (Canada only),PD->ST->Mike->QA->SHIP
Reasonable Accommodation Request Form,2,Accommodation,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Medical Documentation Request,2,Accommodation,N,ST# build / LC# review,Y,Y (privacy varies),PD->ST->Mike->QA->SHIP
Fitness for Duty Certification,2,Accommodation,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Modified Duties Agreement,2,Accommodation,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Non-Compete Agreement (with unenforceability flagging),2,Restrictive Covenants,N,ST# build / LC# review,Y,Y (CRITICAL — banned in CA ND OK; FTC rule),PD->ST->Mike->QA->SHIP
Non-Solicitation Agreement,2,Restrictive Covenants,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Confidentiality / NDA (employee-specific),2,Restrictive Covenants,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Intellectual Property Assignment Agreement,2,Restrictive Covenants,N,ST# build / LC# review,Y,Y (CA Lab Code 2870),PD->ST->Mike->QA->SHIP
Garden Leave Clause Template,2,Restrictive Covenants,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Workplace Investigation Plan Template,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Witness Interview Template,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Investigation Report Template,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Complainant Notification Letter,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Respondent Notification Letter,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Investigation Outcome Letter,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Third-Party Investigator Engagement Letter,3,Investigations,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Workplace Incident Report,3,Health & Safety,N,ST# build / LC# review,N (form),Y,PD->ST->Mike->QA->SHIP
Safety Committee Charter,3,Health & Safety,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
Return-to-Work After Injury Plan,3,Health & Safety,N,ST# build / LC# review,Y,Y,PD->ST->Mike->QA->SHIP
OSHA 300 Log & Reporting (US),3,Health & Safety,N,ST# build / LC# review,N (form),Y (US only),PD->ST->Mike->QA->SHIP
Joint Health & Safety Committee Documentation (Canada),3,Health & Safety,N,ST# build / LC# review,Y,Y (Canada only),PD->ST->Mike->QA->SHIP
Ergonomic Assessment Template,3,Health & Safety,N,ST# build / LC# review,N (form),N,PD->ST->Mike->QA->SHIP
HR Due Diligence Checklist,3,M&A and Restructuring,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Employee Communication Plan (acquisition),3,M&A and Restructuring,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Integration Checklist (benefits/policy harmonization),3,M&A and Restructuring,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Mass Layoff / Plant Closing Notice (WARN),3,M&A and Restructuring,N,ST# build / LC# review,Y,Y (federal+state),PD->ST->Mike->QA->SHIP
Restructuring FAQ Template,3,M&A and Restructuring,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Change Management Communication Plan,3,M&A and Restructuring,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
I-9 Compliance Checklist (US),3,Onboarding,N,ST# build / LC# review,N (form),Y (US only),PD->ST->Mike->QA->SHIP
E-Verify Process Documentation (US),3,Onboarding,N,ST# build / LC# review,Y,Y (US only),PD->ST->Mike->QA->SHIP
New Hire Orientation Checklist,3,Onboarding,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
First 30/60/90 Day Plan Template,3,Onboarding,N,ST# build / LC# review,Y,N,PD->ST->Mike->QA->SHIP
Benefits Enrollment Guide,3,Onboarding,N,ST# build / LC# review,Y,Y (state HSA/FSA varies),PD->ST->Mike->QA->SHIP
